Regions,Prefecture,Municipalities(Japanese),Municipalities(English),Dish_Name_JP,Dish_Name_EN,Dish_Subtitle,Pronunciation_Guide,Audio_File_URL,Is_Quick_Bite,Is_Vegeterian,Is_Dine_In,Is_Halal,Is_Seasonal_Peak,Season,Main_Description,Dietary_Info,Price_Min,Price_Max,Visual_Cues,History_Summary,Did_You_Know,Key_Ingredients,Cooking_Method,Toppings,Google_Maps_Query,Image 1,Image 2,Image 3
,Hokkaido,帯広市,Obihiro City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,小平町,Obira Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,上川町,Kamikawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,上士幌町,Kamishihoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,上砂川町,Kamisunagawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,上ノ国町,Kaminokuni Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,上富良野町,Kamifurano Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,神恵内村,Kamoenai Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,木古内町,Kikonai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,北広島市,Kitahiroshima City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,北見市,Kitami City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,喜茂別町,Kimobetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,京極町,Kyogoku Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,共和町,Kyowa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,清里町,Kiyosato Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,釧路市,Kushiro City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,釧路町,Kushiro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,倶知安町,Kutchan Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,栗山町,Kuriyama Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,黒松内町,Kuromatsunai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,訓子府町,Kunneppu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,剣淵町,Kembuchi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,小清水町,Koshimizu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,札幌市,Sapporo City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,様似町,Samani Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,更別村,Sarabetsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,猿払村,Sarufutsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,佐呂間町,Saroma Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,鹿追町,Shikaoi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,鹿部町,Shikabe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,色丹村,Shikotan Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,標茶町,Shibecha Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,士別市,Shibetsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,標津町,Shibetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,蘂取村,Shibetoro Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,士幌町,Shihoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,島牧村,Shimamaki Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,清水町,Shimizu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,占冠村,Shimukappu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,下川町,Shimokawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,積丹町,Shakotan Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,紗那村,Shana Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,斜里町,Shari Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,初山別村,Shosanbetsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,白老町,Shiraoi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,白糠町,Shiranuka Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,知内町,Shiriuchi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,新篠津村,Shinshinotsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,新得町,Shintoku Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,新十津川町,Shintotsukawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,新ひだか町,Shinhidaka Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,寿都町,Suttsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,砂川市,Sunagawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,せたな町,Setana Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,壮瞥町,Sobetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,大樹町,Taiki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,鷹栖町,Takasu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,滝川市,Takikawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,滝上町,Takinoue Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,伊達市,Date City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,秩父別町,Chippubetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,千歳市,Chitose City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,月形町,Tsukigata Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,津別町,Tsubetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,鶴居村,Tsurui Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,天塩町,Teshio Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,弟子屈町,Teshikaga Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,当別町,Tobetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,当麻町,Tohma Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,洞爺湖町,Toyako Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,苫小牧市,Tomakomai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,苫前町,Tomamae Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,泊村,Tomari Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,泊村(国後島),Tomari Village (Kunashir Island),,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,豊浦町,Toyoura Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,豊頃町,Toyokoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,豊富町,Toyotomi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,奈井江町,Naie Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,中川町,Nakagawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,中札内村,Nakasatsunai Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,中標津町,Nakashibetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,中頓別町,Nakatombetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,長沼町,Naganuma Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,中富良野町,Nakafurano Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,七飯町,Nanae Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,名寄市,Nayoro City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,南幌町,Nanporo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,新冠町,Niikappu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,仁木町,Niki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,西興部村,Nishiokoppe Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,ニセコ町,Niseko Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,沼田町,Numata Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,根室市,Nemuro City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,登別市,Noboribetsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,函館市,Hakodate City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,羽幌町,Haboro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,浜頓別町,Hamatonbetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,浜中町,Hamanaka Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,美瑛町,Biei Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,東神楽町,Higashikagura Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,東川町,Higashikawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,日高町,Hidaka Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,比布町,Pippu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,美唄市,Bibai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,美深町,Bifuka Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,美幌町,Bihoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,平取町,Biratori Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,広尾町,Hiroo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,深川市,Fukagawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,福島町,Fukushima Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,富良野市,Furano City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,古平町,Furubira Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,別海町,Betsukai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,北斗市,Hokuto City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,北竜町,Hokuryu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,幌加内町,Horokanai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,幌延町,Horonobe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,本別町,Honbetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,幕別町,Makubetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,増毛町,Mashike Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,真狩村,Makkari Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,松前町,Matsumae Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,三笠市,Mikasa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,南富良野町,Minamifurano Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,むかわ町,Mukawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,室蘭市,Muroran City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,芽室町,Memuro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,妹背牛町,Moseushi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,森町,Mori Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,紋別市,Mombetsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,八雲町,Yakumo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,夕張市,Yubari City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,湧別町,Yubetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,由仁町,Yuni Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,余市町,Yoichi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,羅臼町,Rausu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,蘭越町,Rankoshi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,陸別町,Rikubetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,利尻町,Rishiri Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,利尻富士町,Rishirifuji Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,留寿都村,Rusutsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,留別村,Rubetsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,留萌市,Rumoi City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,留夜別村,Ruyobetsu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,礼文町,Rebun Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,稚内市,Wakkanai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,和寒町,Wassamu Town,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,Aomori,青森市,Aomori City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,鰺ヶ沢町,Ajigasawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,板柳町,Itayanagi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,田舎館村,Inakadate Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,今別町,Imabetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,おいらせ町,Oirase Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,大間町,Oma Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,大鰐町,Owani Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,風間浦村,Kazamaura Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,黒石市,Kuroishi City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,五所川原市,Goshogawara City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,五戸町,Gonohe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,佐井村,Sai Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,三戸町,Sannohe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,七戸町,Shichinohe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,新郷村,Shingo Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,外ヶ浜町,Sotogahama Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,田子町,Takko Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,つがる市,Tsugaru City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,鶴田町,Tsuruta Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,東北町,Tohoku Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,十和田市,Towada City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,中泊町,Nakadomari Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,南部町,Nanbu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,西目屋村,Nishimeya Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,野辺地町,Noheji Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,階上町,Hashikami Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,八戸市,Hachinohe City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,東通村,Higashidori Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,平川市,Hirakawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,平内町,Hiranai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,弘前市,Hirosaki City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,深浦町,Fukaura Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,藤崎町,Fujisaki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,三沢市,Misawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,むつ市,Mutsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,横浜町,Yokohama Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,蓬田村,Yomogita Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,六戸町,Rokunohe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Aomori,六ヶ所村,Rokkasho Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,一関市,Ichinoseki City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,一戸町,Ichinohe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,岩泉町,Iwaizumi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,岩手町,Iwate Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,奥州市,Oshu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,大槌町,Otsuchi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,大船渡市,Ofunato City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,金ケ崎町,Kanegasaki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,釜石市,Kamaishi City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,軽米町,Karumai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,北上市,Kitakami City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,久慈市,Kuji City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,葛巻町,Kuzumaki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,九戸村,Kunohe Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,雫石町,Shizukuishi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,紫波町,Shiwa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,住田町,Sumita Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,滝沢市,Takizawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,田野畑村,Tanohata Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,遠野市,Tono City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,西和賀町,Nishiwaga Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,二戸市,Ninohe City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,野田村,Noda Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,八幡平市,Hachimantai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,花巻市,Hanamaki City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,平泉町,Hiraizumi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,洋野町,Hirono Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,普代村,Fudai Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,宮古市,Miyako City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,盛岡市,Morioka City,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,矢巾町,Yahaba Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,山田町,Yamada Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Iwate,陸前高田市,Rikuzentakata City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,石巻市,Ishinomaki City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,岩沼市,Iwanuma City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,大河原町,Ogawara Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,大崎市,Osaki City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,大郷町,Osato Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,大衡村,Ohira Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,女川町,Onagawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,角田市,Kakuda City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,加美町,Kami Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,川崎町,Kawasaki Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,栗原市,Kurihara City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,気仙沼市,Kesennuma City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,蔵王町,Zao Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,塩竈市,Shiogama City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,色麻町,Shikama Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,七ヶ宿町,Shichikashuku Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,七ヶ浜町,Shichigahama Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,柴田町,Shibata Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,白石市,Shiroishi City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,仙台市,Sendai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,大和町,Taiwa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,多賀城市,Tagajo City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,富谷市,Tomiya City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,登米市,Tome City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,名取市,Natori City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,東松島市,Higashimatsushima City,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,松島町,Matsushima Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,丸森町,Marumori Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,美里町,Misato Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,南三陸町,Minamisanriku Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,村田町,Murata Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,山元町,Yamamoto Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,利府町,Rifu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,涌谷町,Wakuya Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyagi,亘理町,Watari Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Akita,秋田市,Akita City,,,,,,,,,,,,,,,,,,,,,,,,,
,Akita,井川町,Ikawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Akita,羽後町,Ugo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Akita,大潟村,Ogata Village,,,,,,,,,,,,,,,,,,,,,,,,,
