location_id,location_name,type,parent_location_id,city,prefecture_id,region_id,coverage_phase,food_focus,admin_note,content_status
shimukappu-village,Shimukappu Village,City,,Shimukappu Village,hokkaido,hokkaido,1,,,Published
shimokawa-town,Shimokawa Town,Town,,Shimokawa Town,hokkaido,hokkaido,1,,,Published
shakotan-town,Shakotan Town,Town,,Shakotan Town,hokkaido,hokkaido,1,,,Published
shana-village,Shana Village,City,,Shana Village,hokkaido,hokkaido,1,,,Published
shari-town,Shari Town,Town,,Shari Town,hokkaido,hokkaido,1,,,Published
shosanbetsu-village,Shosanbetsu Village,City,,Shosanbetsu Village,hokkaido,hokkaido,1,,,Published
shiraoi-town,Shiraoi Town,Town,,Shiraoi Town,hokkaido,hokkaido,1,,,Published
shiranuka-town,Shiranuka Town,Town,,Shiranuka Town,hokkaido,hokkaido,1,,,Published
shiriuchi-town,Shiriuchi Town,Town,,Shiriuchi Town,hokkaido,hokkaido,1,,,Published
shinshinotsu-village,Shinshinotsu Village,City,,Shinshinotsu Village,hokkaido,hokkaido,1,,,Published
shintoku-town,Shintoku Town,Town,,Shintoku Town,hokkaido,hokkaido,1,,,Published
shintotsukawa-town,Shintotsukawa Town,Town,,Shintotsukawa Town,hokkaido,hokkaido,1,,,Published
shinhidaka-town,Shinhidaka Town,Town,,Shinhidaka Town,hokkaido,hokkaido,1,,,Published
suttsu-town,Suttsu Town,Town,,Suttsu Town,hokkaido,hokkaido,1,,,Published
sunagawa-city,Sunagawa City,City,,Sunagawa City,hokkaido,hokkaido,1,,,Published
setana-town,Setana Town,Town,,Setana Town,hokkaido,hokkaido,1,,,Published
sobetsu-town,Sobetsu Town,Town,,Sobetsu Town,hokkaido,hokkaido,1,,,Published
taiki-town,Taiki Town,Town,,Taiki Town,hokkaido,hokkaido,1,,,Published
takasu-town,Takasu Town,Town,,Takasu Town,hokkaido,hokkaido,1,,,Published
takikawa-city,Takikawa City,City,,Takikawa City,hokkaido,hokkaido,1,,,Published
takinoue-town,Takinoue Town,Town,,Takinoue Town,hokkaido,hokkaido,1,,,Published
date-city,Date City,City,,Date City,hokkaido,hokkaido,1,,,Published
chippubetsu-town,Chippubetsu Town,Town,,Chippubetsu Town,hokkaido,hokkaido,1,,,Published
chitose-city,Chitose City,City,,Chitose City,hokkaido,hokkaido,1,,,Published
tsukigata-town,Tsukigata Town,Town,,Tsukigata Town,hokkaido,hokkaido,1,,,Published
tsubetsu-town,Tsubetsu Town,Town,,Tsubetsu Town,hokkaido,hokkaido,1,,,Published
tsurui-village,Tsurui Village,City,,Tsurui Village,hokkaido,hokkaido,1,,,Published
teshio-town,Teshio Town,Town,,Teshio Town,hokkaido,hokkaido,1,,,Published
teshikaga-town,Teshikaga Town,Town,,Teshikaga Town,hokkaido,hokkaido,1,,,Published
tobetsu-town,Tobetsu Town,Town,,Tobetsu Town,hokkaido,hokkaido,1,,,Published
tohma-town,Tohma Town,Town,,Tohma Town,hokkaido,hokkaido,1,,,Published
toyako-town,Toyako Town,Town,,Toyako Town,hokkaido,hokkaido,1,,,Published
tomakomai-city,Tomakomai City,City,,Tomakomai City,hokkaido,hokkaido,1,,,Published
tomamae-town,Tomamae Town,Town,,Tomamae Town,hokkaido,hokkaido,1,,,Published
tomari-village,Tomari Village,City,,Tomari Village,hokkaido,hokkaido,1,,,Published
tomari-village-kunashir-island,Tomari Village (Kunashir Island),City,,Tomari Village (Kunashir Island),hokkaido,hokkaido,1,,,Published
toyoura-town,Toyoura Town,Town,,Toyoura Town,hokkaido,hokkaido,1,,,Published
toyokoro-town,Toyokoro Town,Town,,Toyokoro Town,hokkaido,hokkaido,1,,,Published
toyotomi-town,Toyotomi Town,Town,,Toyotomi Town,hokkaido,hokkaido,1,,,Published
naie-town,Naie Town,Town,,Naie Town,hokkaido,hokkaido,1,,,Published
nakagawa-town,Nakagawa Town,Town,,Nakagawa Town,hokkaido,hokkaido,1,,,Published
nakasatsunai-village,Nakasatsunai Village,City,,Nakasatsunai Village,hokkaido,hokkaido,1,,,Published
nakashibetsu-town,Nakashibetsu Town,Town,,Nakashibetsu Town,hokkaido,hokkaido,1,,,Published
nakatombetsu-town,Nakatombetsu Town,Town,,Nakatombetsu Town,hokkaido,hokkaido,1,,,Published
naganuma-town,Naganuma Town,Town,,Naganuma Town,hokkaido,hokkaido,1,,,Published
nakafurano-town,Nakafurano Town,Town,,Nakafurano Town,hokkaido,hokkaido,1,,,Published
nanae-town,Nanae Town,Town,,Nanae Town,hokkaido,hokkaido,1,,,Published
nayoro-city,Nayoro City,City,,Nayoro City,hokkaido,hokkaido,1,,,Published
nanporo-town,Nanporo Town,Town,,Nanporo Town,hokkaido,hokkaido,1,,,Published
niikappu-town,Niikappu Town,Town,,Niikappu Town,hokkaido,hokkaido,1,,,Published
niki-town,Niki Town,Town,,Niki Town,hokkaido,hokkaido,1,,,Published
nishiokoppe-village,Nishiokoppe Village,City,,Nishiokoppe Village,hokkaido,hokkaido,1,,,Published
niseko-town,Niseko Town,Town,,Niseko Town,hokkaido,hokkaido,1,,,Published
numata-town,Numata Town,Town,,Numata Town,hokkaido,hokkaido,1,,,Published
nemuro-city,Nemuro City,City,,Nemuro City,hokkaido,hokkaido,1,,,Published
noboribetsu-city,Noboribetsu City,City,,Noboribetsu City,hokkaido,hokkaido,1,,,Published
hakodate-city,Hakodate City,City,,Hakodate City,hokkaido,hokkaido,1,,,Published
haboro-town,Haboro Town,Town,,Haboro Town,hokkaido,hokkaido,1,,,Published
hamatonbetsu-town,Hamatonbetsu Town,Town,,Hamatonbetsu Town,hokkaido,hokkaido,1,,,Published
hamanaka-town,Hamanaka Town,Town,,Hamanaka Town,hokkaido,hokkaido,1,,,Published
biei-town,Biei Town,Town,,Biei Town,hokkaido,hokkaido,1,,,Published
higashikagura-town,Higashikagura Town,Town,,Higashikagura Town,hokkaido,hokkaido,1,,,Published
higashikawa-town,Higashikawa Town,Town,,Higashikawa Town,hokkaido,hokkaido,1,,,Published
hidaka-town,Hidaka Town,Town,,Hidaka Town,hokkaido,hokkaido,1,,,Published
pippu-town,Pippu Town,Town,,Pippu Town,hokkaido,hokkaido,1,,,Published
bibai-city,Bibai City,City,,Bibai City,hokkaido,hokkaido,1,,,Published
bifuka-town,Bifuka Town,Town,,Bifuka Town,hokkaido,hokkaido,1,,,Published
bihoro-town,Bihoro Town,Town,,Bihoro Town,hokkaido,hokkaido,1,,,Published
biratori-town,Biratori Town,Town,,Biratori Town,hokkaido,hokkaido,1,,,Published
hiroo-town,Hiroo Town,Town,,Hiroo Town,hokkaido,hokkaido,1,,,Published
fukagawa-city,Fukagawa City,City,,Fukagawa City,hokkaido,hokkaido,1,,,Published
fukushima-town,Fukushima Town,Town,,Fukushima Town,hokkaido,hokkaido,1,,,Published
furano-city,Furano City,City,,Furano City,hokkaido,hokkaido,1,,,Published
furubira-town,Furubira Town,Town,,Furubira Town,hokkaido,hokkaido,1,,,Published
betsukai-town,Betsukai Town,Town,,Betsukai Town,hokkaido,hokkaido,1,,,Published
hokuto-city,Hokuto City,City,,Hokuto City,hokkaido,hokkaido,1,,,Published
hokuryu-town,Hokuryu Town,Town,,Hokuryu Town,hokkaido,hokkaido,1,,,Published
horokanai-town,Horokanai Town,Town,,Horokanai Town,hokkaido,hokkaido,1,,,Published
horonobe-town,Horonobe Town,Town,,Horonobe Town,hokkaido,hokkaido,1,,,Published
honbetsu-town,Honbetsu Town,Town,,Honbetsu Town,hokkaido,hokkaido,1,,,Published
makubetsu-town,Makubetsu Town,Town,,Makubetsu Town,hokkaido,hokkaido,1,,,Published
mashike-town,Mashike Town,Town,,Mashike Town,hokkaido,hokkaido,1,,,Published
makkari-village,Makkari Village,City,,Makkari Village,hokkaido,hokkaido,1,,,Published
matsumae-town,Matsumae Town,Town,,Matsumae Town,hokkaido,hokkaido,1,,,Published
mikasa-city,Mikasa City,City,,Mikasa City,hokkaido,hokkaido,1,,,Published
minamifurano-town,Minamifurano Town,Town,,Minamifurano Town,hokkaido,hokkaido,1,,,Published
mukawa-town,Mukawa Town,Town,,Mukawa Town,hokkaido,hokkaido,1,,,Published
muroran-city,Muroran City,City,,Muroran City,hokkaido,hokkaido,1,,,Published
memuro-town,Memuro Town,Town,,Memuro Town,hokkaido,hokkaido,1,,,Published
moseushi-town,Moseushi Town,Town,,Moseushi Town,hokkaido,hokkaido,1,,,Published
mori-town,Mori Town,Town,,Mori Town,hokkaido,hokkaido,1,,,Published
mombetsu-city,Mombetsu City,City,,Mombetsu City,hokkaido,hokkaido,1,,,Published
yakumo-town,Yakumo Town,Town,,Yakumo Town,hokkaido,hokkaido,1,,,Published
yubari-city,Yubari City,City,,Yubari City,hokkaido,hokkaido,1,,,Published
yubetsu-town,Yubetsu Town,Town,,Yubetsu Town,hokkaido,hokkaido,1,,,Published
yuni-town,Yuni Town,Town,,Yuni Town,hokkaido,hokkaido,1,,,Published
yoichi-town,Yoichi Town,Town,,Yoichi Town,hokkaido,hokkaido,1,,,Published
rausu-town,Rausu Town,Town,,Rausu Town,hokkaido,hokkaido,1,,,Published
rankoshi-town,Rankoshi Town,Town,,Rankoshi Town,hokkaido,hokkaido,1,,,Published
rikubetsu-town,Rikubetsu Town,Town,,Rikubetsu Town,hokkaido,hokkaido,1,,,Published
rishiri-town,Rishiri Town,Town,,Rishiri Town,hokkaido,hokkaido,1,,,Published
rishirifuji-town,Rishirifuji Town,Town,,Rishirifuji Town,hokkaido,hokkaido,1,,,Published
rusutsu-village,Rusutsu Village,City,,Rusutsu Village,hokkaido,hokkaido,1,,,Published
rubetsu-village,Rubetsu Village,City,,Rubetsu Village,hokkaido,hokkaido,1,,,Published
rumoi-city,Rumoi City,City,,Rumoi City,hokkaido,hokkaido,1,,,Published
ruyobetsu-village,Ruyobetsu Village,City,,Ruyobetsu Village,hokkaido,hokkaido,1,,,Published
rebun-town,Rebun Town,Town,,Rebun Town,hokkaido,hokkaido,1,,,Published
wakkanai-city,Wakkanai City,City,,Wakkanai City,hokkaido,hokkaido,1,,,Published
wassamu-town,Wassamu Town,Town,,Wassamu Town,hokkaido,hokkaido,1,,,Published
aomori-city,Aomori City,City,,Aomori City,aomori,tohoku,1,,,Published
ajigasawa-town,Ajigasawa Town,Town,,Ajigasawa Town,aomori,tohoku,1,,,Published
itayanagi-town,Itayanagi Town,Town,,Itayanagi Town,aomori,tohoku,1,,,Published
inakadate-village,Inakadate Village,City,,Inakadate Village,aomori,tohoku,1,,,Published
imabetsu-town,Imabetsu Town,Town,,Imabetsu Town,aomori,tohoku,1,,,Published
oirase-town,Oirase Town,Town,,Oirase Town,aomori,tohoku,1,,,Published
oma-town,Oma Town,Town,,Oma Town,aomori,tohoku,1,,,Published
owani-town,Owani Town,Town,,Owani Town,aomori,tohoku,1,,,Published
kazamaura-village,Kazamaura Village,City,,Kazamaura Village,aomori,tohoku,1,,,Published
kuroishi-city,Kuroishi City,City,,Kuroishi City,aomori,tohoku,1,,,Published
goshogawara-city,Goshogawara City,City,,Goshogawara City,aomori,tohoku,1,,,Published
gonohe-town,Gonohe Town,Town,,Gonohe Town,aomori,tohoku,1,,,Published
sai-village,Sai Village,City,,Sai Village,aomori,tohoku,1,,,Published
sannohe-town,Sannohe Town,Town,,Sannohe Town,aomori,tohoku,1,,,Published
shichinohe-town,Shichinohe Town,Town,,Shichinohe Town,aomori,tohoku,1,,,Published
shingo-village,Shingo Village,City,,Shingo Village,aomori,tohoku,1,,,Published
sotogahama-town,Sotogahama Town,Town,,Sotogahama Town,aomori,tohoku,1,,,Published
takko-town,Takko Town,Town,,Takko Town,aomori,tohoku,1,,,Published
tsugaru-city,Tsugaru City,City,,Tsugaru City,aomori,tohoku,1,,,Published
tsuruta-town,Tsuruta Town,Town,,Tsuruta Town,aomori,tohoku,1,,,Published
tohoku-town,Tohoku Town,Town,,Tohoku Town,aomori,tohoku,1,,,Published
towada-city,Towada City,City,,Towada City,aomori,tohoku,1,,,Published
nakadomari-town,Nakadomari Town,Town,,Nakadomari Town,aomori,tohoku,1,,,Published
nanbu-town,Nanbu Town,Town,,Nanbu Town,aomori,tohoku,1,,,Published
nishimeya-village,Nishimeya Village,City,,Nishimeya Village,aomori,tohoku,1,,,Published
noheji-town,Noheji Town,Town,,Noheji Town,aomori,tohoku,1,,,Published
hashikami-town,Hashikami Town,Town,,Hashikami Town,aomori,tohoku,1,,,Published
hachinohe-city,Hachinohe City,City,,Hachinohe City,aomori,tohoku,1,,,Published
higashidori-village,Higashidori Village,City,,Higashidori Village,aomori,tohoku,1,,,Published
hirakawa-city,Hirakawa City,City,,Hirakawa City,aomori,tohoku,1,,,Published
hiranai-town,Hiranai Town,Town,,Hiranai Town,aomori,tohoku,1,,,Published
hirosaki-city,Hirosaki City,City,,Hirosaki City,aomori,tohoku,1,,,Published
fukaura-town,Fukaura Town,Town,,Fukaura Town,aomori,tohoku,1,,,Published
fujisaki-town,Fujisaki Town,Town,,Fujisaki Town,aomori,tohoku,1,,,Published
misawa-city,Misawa City,City,,Misawa City,aomori,tohoku,1,,,Published
mutsu-city,Mutsu City,City,,Mutsu City,aomori,tohoku,1,,,Published
yokohama-town,Yokohama Town,Town,,Yokohama Town,aomori,tohoku,1,,,Published
yomogita-village,Yomogita Village,City,,Yomogita Village,aomori,tohoku,1,,,Published
rokunohe-town,Rokunohe Town,Town,,Rokunohe Town,aomori,tohoku,1,,,Published
rokkasho-village,Rokkasho Village,City,,Rokkasho Village,aomori,tohoku,1,,,Published
ichinoseki-city,Ichinoseki City,City,,Ichinoseki City,iwate,tohoku,1,,,Published
ichinohe-town,Ichinohe Town,Town,,Ichinohe Town,iwate,tohoku,1,,,Published
iwaizumi-town,Iwaizumi Town,Town,,Iwaizumi Town,iwate,tohoku,1,,,Published
iwate-town,Iwate Town,Town,,Iwate Town,iwate,tohoku,1,,,Published
oshu-city,Oshu City,City,,Oshu City,iwate,tohoku,1,,,Published
otsuchi-town,Otsuchi Town,Town,,Otsuchi Town,iwate,tohoku,1,,,Published
ofunato-city,Ofunato City,City,,Ofunato City,iwate,tohoku,1,,,Published
kanegasaki-town,Kanegasaki Town,Town,,Kanegasaki Town,iwate,tohoku,1,,,Published
kamaishi-city,Kamaishi City,City,,Kamaishi City,iwate,tohoku,1,,,Published
karumai-town,Karumai Town,Town,,Karumai Town,iwate,tohoku,1,,,Published
kitakami-city,Kitakami City,City,,Kitakami City,iwate,tohoku,1,,,Published
kuji-city,Kuji City,City,,Kuji City,iwate,tohoku,1,,,Published
kuzumaki-town,Kuzumaki Town,Town,,Kuzumaki Town,iwate,tohoku,1,,,Published
kunohe-village,Kunohe Village,City,,Kunohe Village,iwate,tohoku,1,,,Published
shizukuishi-town,Shizukuishi Town,Town,,Shizukuishi Town,iwate,tohoku,1,,,Published
shiwa-town,Shiwa Town,Town,,Shiwa Town,iwate,tohoku,1,,,Published
sumita-town,Sumita Town,Town,,Sumita Town,iwate,tohoku,1,,,Published
takizawa-city,Takizawa City,City,,Takizawa City,iwate,tohoku,1,,,Published
tanohata-village,Tanohata Village,City,,Tanohata Village,iwate,tohoku,1,,,Published
tono-city,Tono City,City,,Tono City,iwate,tohoku,1,,,Published
nishiwaga-town,Nishiwaga Town,Town,,Nishiwaga Town,iwate,tohoku,1,,,Published
ninohe-city,Ninohe City,City,,Ninohe City,iwate,tohoku,1,,,Published
noda-village,Noda Village,City,,Noda Village,iwate,tohoku,1,,,Published
hachimantai-city,Hachimantai City,City,,Hachimantai City,iwate,tohoku,1,,,Published
hanamaki-city,Hanamaki City,City,,Hanamaki City,iwate,tohoku,1,,,Published
hiraizumi-town,Hiraizumi Town,Town,,Hiraizumi Town,iwate,tohoku,1,,,Published
hirono-town,Hirono Town,Town,,Hirono Town,iwate,tohoku,1,,,Published
fudai-village,Fudai Village,City,,Fudai Village,iwate,tohoku,1,,,Published
miyako-city,Miyako City,City,,Miyako City,iwate,tohoku,1,,,Published
morioka-city,Morioka City,City,,Morioka City,iwate,tohoku,1,,,Published
yahaba-town,Yahaba Town,Town,,Yahaba Town,iwate,tohoku,1,,,Published
yamada-town,Yamada Town,Town,,Yamada Town,iwate,tohoku,1,,,Published
rikuzentakata-city,Rikuzentakata City,City,,Rikuzentakata City,iwate,tohoku,1,,,Published
ishinomaki-city,Ishinomaki City,City,,Ishinomaki City,miyagi,tohoku,1,,,Published
iwanuma-city,Iwanuma City,City,,Iwanuma City,miyagi,tohoku,1,,,Published
ogawara-town,Ogawara Town,Town,,Ogawara Town,miyagi,tohoku,1,,,Published
osaki-city,Osaki City,City,,Osaki City,miyagi,tohoku,1,,,Published
osato-town,Osato Town,Town,,Osato Town,miyagi,tohoku,1,,,Published
ohira-village,Ohira Village,City,,Ohira Village,miyagi,tohoku,1,,,Published
onagawa-town,Onagawa Town,Town,,Onagawa Town,miyagi,tohoku,1,,,Published
kakuda-city,Kakuda City,City,,Kakuda City,miyagi,tohoku,1,,,Published
kami-town,Kami Town,Town,,Kami Town,miyagi,tohoku,1,,,Published
kawasaki-town,Kawasaki Town,Town,,Kawasaki Town,miyagi,tohoku,1,,,Published
kurihara-city,Kurihara City,City,,Kurihara City,miyagi,tohoku,1,,,Published
kesennuma-city,Kesennuma City,City,,Kesennuma City,miyagi,tohoku,1,,,Published
zao-town,Zao Town,Town,,Zao Town,miyagi,tohoku,1,,,Published
shiogama-city,Shiogama City,City,,Shiogama City,miyagi,tohoku,1,,,Published
shikama-town,Shikama Town,Town,,Shikama Town,miyagi,tohoku,1,,,Published
shichikashuku-town,Shichikashuku Town,Town,,Shichikashuku Town,miyagi,tohoku,1,,,Published
shichigahama-town,Shichigahama Town,Town,,Shichigahama Town,miyagi,tohoku,1,,,Published
shibata-town,Shibata Town,Town,,Shibata Town,miyagi,tohoku,1,,,Published
shiroishi-city,Shiroishi City,City,,Shiroishi City,miyagi,tohoku,1,,,Published
sendai-city,Sendai City,City,,Sendai City,miyagi,tohoku,1,,,Published
taiwa-town,Taiwa Town,Town,,Taiwa Town,miyagi,tohoku,1,,,Published
tagajo-city,Tagajo City,City,,Tagajo City,miyagi,tohoku,1,,,Published
tomiya-city,Tomiya City,City,,Tomiya City,miyagi,tohoku,1,,,Published
tome-city,Tome City,City,,Tome City,miyagi,tohoku,1,,,Published
natori-city,Natori City,City,,Natori City,miyagi,tohoku,1,,,Published
higashimatsushima-city,Higashimatsushima City,City,,Higashimatsushima City,miyagi,tohoku,1,,,Published
matsushima-town,Matsushima Town,Town,,Matsushima Town,miyagi,tohoku,1,,,Published
marumori-town,Marumori Town,Town,,Marumori Town,miyagi,tohoku,1,,,Published
misato-town,Misato Town,Town,,Misato Town,miyagi,tohoku,1,,,Published
minamisanriku-town,Minamisanriku Town,Town,,Minamisanriku Town,miyagi,tohoku,1,,,Published
murata-town,Murata Town,Town,,Murata Town,miyagi,tohoku,1,,,Published
yamamoto-town,Yamamoto Town,Town,,Yamamoto Town,miyagi,tohoku,1,,,Published
rifu-town,Rifu Town,Town,,Rifu Town,miyagi,tohoku,1,,,Published
wakuya-town,Wakuya Town,Town,,Wakuya Town,miyagi,tohoku,1,,,Published
watari-town,Watari Town,Town,,Watari Town,miyagi,tohoku,1,,,Published
akita-city,Akita City,City,,Akita City,akita,tohoku,1,,,Published
ikawa-town,Ikawa Town,Town,,Ikawa Town,akita,tohoku,1,,,Published
ugo-town,Ugo Town,Town,,Ugo Town,akita,tohoku,1,,,Published
ogata-village,Ogata Village,City,,Ogata Village,akita,tohoku,1,,,Published
odate-city,Odate City,City,,Odate City,akita,tohoku,1,,,Published
oga-city,Oga City,City,,Oga City,akita,tohoku,1,,,Published
katagami-city,Katagami City,City,,Katagami City,akita,tohoku,1,,,Published
kazuno-city,Kazuno City,City,,Kazuno City,akita,tohoku,1,,,Published
kamikoani-village,Kamikoani Village,City,,Kamikoani Village,akita,tohoku,1,,,Published
kitaakita-city,Kitaakita City,City,,Kitaakita City,akita,tohoku,1,,,Published
kosaka-town,Kosaka Town,Town,,Kosaka Town,akita,tohoku,1,,,Published
gojome-town,Gojome Town,Town,,Gojome Town,akita,tohoku,1,,,Published
semboku-city,Semboku City,City,,Semboku City,akita,tohoku,1,,,Published
daisen-city,Daisen City,City,,Daisen City,akita,tohoku,1,,,Published
nikaho-city,Nikaho City,City,,Nikaho City,akita,tohoku,1,,,Published
noshiro-city,Noshiro City,City,,Noshiro City,akita,tohoku,1,,,Published
hachirogata-town,Hachirogata Town,Town,,Hachirogata Town,akita,tohoku,1,,,Published
happo-town,Happo Town,Town,,Happo Town,akita,tohoku,1,,,Published
higashinaruse-village,Higashinaruse Village,City,,Higashinaruse Village,akita,tohoku,1,,,Published
fujisato-town,Fujisato Town,Town,,Fujisato Town,akita,tohoku,1,,,Published
mitane-town,Mitane Town,Town,,Mitane Town,akita,tohoku,1,,,Published
