dish_id,dish_name,japanese_name,region_id,primary_prefecture_id,summary,seasons,tags,dietary_guidance,price_min,price_max,content_status,home_filter_tags,vegetarian_status,halal_status,featured,origin_history_preview,origin_history_full,did_you_know,key_ingredients,pronunciation_phonetic,pronunciation_audio_url
arakawa-monja,Arakawa Monja,あらかわもんじゃ,kanto,tokyo,"A sizzling monjayaki style associated with Arakawa Ward, where a thin dashi-rich batter cooks into a loose, savory mixture on a hot griddle. Cabbage and other ingredients are cooked together, producing the soft texture and concentrated browned edges that define monjayaki.","{""All year""}","{""local specialty""}","Contains wheat, soy, various toppings",800,2000,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Monjayaki became deeply established in Tokyo's working-class neighborhoods, and Arakawa developed its own local eating culture around the dish. The ward's style reflects the broader shitamachi tradition rather than a single inventor.",,"A tiny metal spatula is used both to cook and eat monjayaki. The most prized bites are often the small, crisp pieces that form against the griddle.","{""01 Dashi-Flavored Batter
 A thin mixture of flour and dashi creates the characteristic loose texture.
 

 02 Cabbage
 Finely chopped cabbage adds sweetness, moisture, and texture.
 

 03 Local Toppings
 Seafood, meat, vegetables, cheese, or other additions create the chosen flavor profile.""}",ah-rah-kah-wah mon-jah,
okara-soy-milk-karinto,Okara & Soy Milk Karinto,おからと豆乳のかりんとう,kanto,tokyo,"A crunchy karinto made with okara and soy milk, turning familiar soybean by-products into a sweet, crisp snack. The version produced by Nakano Confectionery in Itabashi is recognized locally for its practical use of soy ingredients and its light, pleasantly crumbly bite.","{""All year""}","{""local specialty""}","Vegan, contains soy, wheat",300,700,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,"The product is made by Nakano Confectionery and is listed among Itabashi's recognized local specialty foods. Its concept combines traditional karinto-making with okara and soy milk, reflecting an effort to use more of the soybean after tofu production.",,Okara is the soybean pulp left after making soy milk or tofu. Using it in confectionery gives the snack a distinctive crumb and turns a tofu-making by-product into part of the finished food.,"{""01 Okara
 Soybean pulp adds body and a slightly nutty, crumbly character.
 

 02 Soy Milk
 Soy milk enriches the dough and reinforces the soybean flavor.
 

 03 Wheat Flour and Sugar
 Flour provides structure while sugar supplies the characteristic sweetness of karinto.""}",oh-kah-rah to toh-nyoo no kah-reen-toh,
niku-no-marusan-homemade-ham-cutlet,Niku no Marusan Homemade Ham Cutlet,肉のマルサン 自家製ハムカツ,kanto,tokyo,"A thick, butcher-shop-style ham cutlet made from a substantial slice of ham, coated and fried until the outside is crisp and golden. Niku no Marusan in Kamitabashi sells this house-made version as one of the products recognized by the Itabashi local specialty program.","{""All year""}","{""local specialty""}","Contains meat, wheat, egg",150,400,Published,"{""Quick bite""}",Not vegetarian,Not halal,TRUE,"Ham cutlets became a familiar Japanese butcher-shop food during the twentieth century, and Niku no Marusan developed its own house-made version for its Kamitabashi customers. The shop's cutlet was later selected for Itabashi's local specialty program.",,"Niku no Marusan is a neighborhood butcher that also prepares cooked foods in-house. The ham cutlet is designed as an everyday, ready-to-eat side rather than a formal restaurant dish.","{""01 Ham
 A thick slice of cured ham supplies the savory center.
 

 02 Egg and Flour
 The standard cutlet coating uses flour and egg to help the crumbs adhere.
 

 03 Panko Breadcrumbs
 Japanese breadcrumbs create the crisp, light-textured crust after frying.""}",nee-koo no mah-roo-sahn hah-moo-kah-tsoo,
inagi-pears,Inagi Pears,稲城の梨,kanto,tokyo,"Large, juicy Japanese pears grown in Inagi, a long-established pear-growing area in Tokyo. Local fruit is prized for abundant juice, pronounced sweetness, and a crisp texture, with farm stands becoming especially busy during the harvest period from late summer into autumn.","{""Fall""}","{""local specialty""}","Vegan, Gluten-free",500,3000,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,"Pear cultivation in Inagi is traced by the city to the Genroku era, when two local men are said to have brought back a pear cultivar from the Kyoto region. Commercial production became established later in the nineteenth century, leading to today's regional brand.",,The city says local pear stalls begin appearing prominently around mid-August. Inagi pears are also widely purchased as gifts and shipped outside Tokyo during the harvest season.,"{""01 Japanese Pears
 Crisp Japanese pears provide the signature juicy sweetness and clean aroma.
 

 02 Orchard Fruit
 Fruit is harvested at orchard ripeness for direct sale and local distribution.
 

 03 Natural Fruit Juice
 The pear's high natural juice content creates the refreshing texture associated with the Inagi brand.""}",ee-nah-gee no nah-she,
inagi-mukashibanashi-manju,Inagi Mukashibanashi Manju,稲城の昔ばなしまんじゅう,kanto,tokyo,"A soft Japanese steamed bun created as an Inagi souvenir around local folktales and storytelling. The confection pairs a tender outer cake with a sweet filling, turning the city's traditional narratives into a compact gift suitable for visitors and everyday tea service.","{""All year""}","{""local specialty""}","Vegan, contains wheat",150,500,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,"The confection was developed as a local Inagi souvenir inspired by the city's traditional folktales. Its purpose is cultural as well as culinary, using wagashi to give local stories a portable form.",,The phrase old folktales refers to traditional local stories passed between generations. The manju turns that cultural theme into a food souvenir rather than representing a single historic recipe.,"{""01 Wheat Flour
 Flour forms the soft steamed outer cake.
 

 02 Sweet Bean Filling
 Sweet bean paste supplies the traditional wagashi-style filling.
 

 03 Sugar
 Sugar balances the filling and dough and gives the manju its gentle sweetness.""}",ee-nah-gee moo-kah-she-bah-nah-she mahn-joo,
komatsuna,Komatsuna,小松菜,kanto,tokyo,"A dark green leafy vegetable strongly associated with Edogawa, where the Komatsugawa area gave the crop its name. Komatsuna has crisp stems and a mild sweetness, and today it is grown year-round, although its original peak season is winter when cool weather intensifies its flavor.","{""Winter""}","{""local specialty""}","Vegan, Gluten-free",100,300,Published,"{""Vegetarian"",""Halal"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,"Komatsuna's name is traditionally linked to the eighth shogun Tokugawa Yoshimune, who is said to have eaten local winter greens during a hawking visit and named them after Komatsugawa. Historical texts later confirm the reputation of the vegetable in the area.",,"Komatsuna can be harvested several times a year in modern cultivation, but winter remains its traditional season. Frost is said to make the leaves sweeter and more flavorful.","{""01 Komatsuna Leaves
 The dark leaves provide a mild mustardy note and high vegetable freshness.
 

 02 Komatsuna Stems
 Crisp stems give the vegetable its characteristic crunch.
 

 03 Natural Vegetable Sugars
 Cool-season growth concentrates sweetness, especially in traditional winter crops.""}",koh-mah-tsoo-nah,
salad-komatsuna,Salad Komatsuna,サラダ小松菜,kanto,tokyo,"A tender, mild form of komatsuna developed specifically for comfortable raw eating, with less bitterness and more perceived sweetness than traditional mature greens. The product was developed through an Edogawa agricultural-academic-public partnership and is marketed for salads, juices, and other uncooked uses.","{""All year""}","{""local specialty""}","Vegan, Gluten-free",150,400,Published,"{""Vegetarian"",""Halal""}",Verified vegetarian,Verified halal,TRUE,"Salad Komatsuna was developed through a joint Edogawa agricultural, academic, and public-sector project studying the safety and nutritional value of eating komatsuna raw. After two years of research, the product was commercialized as a milder salad-oriented form.",,"The project specifically tested raw-eating suitability, which is why this version is much less assertive in taste than mature cooking greens. It can also be blended directly into juice.","{""01 Salad Komatsuna
 Tender leaves provide a mild flavor designed for raw eating.
 

 02 Crisp Stems
 The young stems add fresh crunch without requiring boiling.
 

 03 Natural Vegetable Sugars
 A sweeter taste helps the greens work in salads and fresh juices.""}",sah-rah-dah koh-mah-tsoo-nah,
ome-senbei,Ome Senbei,青梅せんべい,kanto,tokyo,"A traditional rice-cracker-style confection associated with Ome, known for its light sweetness and crisp, delicate bite. The local souvenir is shaped and baked into thin pieces that travel well, making it a familiar tea-time gift from western Tokyo.","{""All year""}","{""local specialty""}","Vegan, contains wheat",300,1000,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,Ome Senbei is a long-standing local confection associated with the city's souvenir culture rather than a single documented inventor. Its style reflects the broader Japanese tradition of crisp baked sweets made for tea and gifting.,,The crackers are particularly suited to tea because their modest sweetness lets the roasted grain aroma remain noticeable. Their dry texture also makes them easy to carry as a travel souvenir.,"{""01 Rice Flour
 Rice provides the crisp, light structure associated with senbei.
 

 02 Wheat Flour
 A small amount of wheat-based flour contributes structure in the local recipe.
 

 03 Sugar
 Sugar gives the cracker its gently sweet finish.""}",oh-meh sen-bay,
noshikon,Noshikon,のしこん,kanto,tokyo,"A locally made konnyaku specialty associated with Ome, produced in thin rolled sheets rather than the standard rectangular blocks. The translucent pieces have a springy, pleasantly firm texture and are typically served chilled with a savory sauce or alongside other simple Japanese foods.","{""All year""}","{""local specialty""}","Vegan, Gluten-free",200,500,Published,"{""Vegetarian"",""Halal""}",Verified vegetarian,Verified halal,TRUE,"Noshikon is a specialized local konnyaku product whose name comes from its rolled form. It belongs to Ome's regional food tradition of working with konnyaku as a practical, low-cost staple ingredient.",,"Konnyaku has almost no inherent flavor, so texture is the main attraction. Chilling the slices and adding a concentrated dipping sauce makes the springy bite more pronounced.","{""01 Konnyaku Flour
 Konnyaku powder provides the gelatinous, elastic base.
 

 02 Water
 Water hydrates the konnyaku flour and creates the final firm gel texture.
 

 03 Alkaline Setting Agent
 A traditional alkaline ingredient helps the konnyaku mixture set into a stable gel.""}",noh-she-kon,
bekko-sushi,Bekko Sushi,べっこう寿司,kanto,tokyo,"A distinctive island sushi from Izu Oshima made by marinating slices of local fish in a sweet-savory soy sauce before placing them over vinegared rice. The marinade gives the fish a glossy amber-brown appearance, which explains the name referring to tortoiseshell.","{""All year""}","{""local specialty""}","Contains fish, soy",1000,2000,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,Bekko sushi developed as a practical island preparation for seasoning fish with soy sauce and keeping its flavor appealing. The style became characteristic of Oshima's food culture and is now treated as one of the island's representative dishes.,,"The name bekko refers to tortoiseshell, a reference to the amber-brown shine created by the soy marinade. In Oshima, mustard is traditionally preferred with the sushi instead of wasabi.","{""01 Local White Fish
 Fish such as sawara is sliced thinly for marinating.
 

 02 Soy Sauce Marinade
 Soy sauce provides saltiness, umami, and the characteristic amber color.
 

 03 Vinegared Sushi Rice
 Lightly sweetened vinegared rice balances the savory fish and marinade.""}",bek-koh zoo-she,
zako-teishoku,Zako Teishoku,ざこ定食,kanto,tokyo,"A casual island set meal built around small local fish, often served grilled, fried, or simmered with rice and everyday side dishes. The concept reflects Oshima's practical seafood cooking, where modest catches are turned into a satisfying complete meal rather than treated as luxury ingredients.","{""All year""}","{""local specialty""}","Contains fish, soy",800,1500,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,Zako teishoku is best understood as a local set-meal style using small fish rather than as one fixed historical recipe. Its roots lie in Oshima's fishing households and the practical use of readily available catches.,,"The word zako refers broadly to small fish rather than one exact species. Because the term is flexible, the fish and preparation can vary with the day's catch and the restaurant.","{""01 Small Local Fish
 The day's small catch provides the central protein and can be grilled, fried, or simmered.
 

 02 Steamed Rice
 Plain rice provides a neutral base for the strongly flavored fish.
 

 03 Miso Soup and Seasonal Sides
 Soup and small vegetable dishes complete the balanced set-meal format.""}",zah-koh tay-shoh-koo,
gyunu-senbei,Gyunu Senbei,牛乳せんべい,kanto,tokyo,"A crisp, lightly sweet milk biscuit from Izu Oshima, made into thin baked pieces that pair naturally with tea or coffee. The simple recipe reflects the island's dairy connection and produces a dry, fragrant snack with a delicate snap.","{""All year""}","{""local specialty""}","Contains dairy, wheat, egg",400,1000,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,Milk Senbei became established as an Oshima souvenir using the island's dairy connection and the Japanese tradition of producing crisp baked gift sweets. The exact commercial origin is associated with local confectionery makers rather than a single national inventor.,,"Despite its name, milk senbei is closer to a thin sweet biscuit than a savory rice cracker. The milky aroma becomes more noticeable when the biscuit is eaten with a warm drink.","{""01 Wheat Flour
 Wheat flour provides the biscuit's structure.
 

 02 Milk
 Milk gives the cracker its gentle dairy aroma and pale finish.
 

 03 Sugar
 Sugar adds the restrained sweetness typical of the confection.""}",gyoo-nyoo sen-bay,
omori-nori,Omori Nori,大森の海苔,kanto,tokyo,"A historic nori-producing tradition from Omori, where calm, nutrient-rich Tokyo Bay waters once supported one of Japan's major seaweed-growing areas. Although cultivation ended in the 1960s, Omori remains a major center for nori wholesalers, grading, processing, and distribution.","{""All year""}","{""local specialty""}","Vegan, Gluten-free",500,3000,Published,"{""Vegetarian"",""Halal""}",Verified vegetarian,Verified halal,TRUE,"Nori cultivation began along the Omori-to-Shinagawa coast about three centuries ago, and Omori became a leading production area from the Meiji era through the early Showa period. Cultivation ended in 1963 after fishing rights were relinquished amid coastal development, but the local trade continued.",,Omori was once important enough to spread nori cultivation and processing techniques to other parts of Japan. Today the area's nori wholesalers still judge and process seaweed from production regions around the country.,"{""01 Edible Seaweed
 Porphyra-type seaweed forms the raw material for dried nori sheets.
 

 02 Seawater Minerals
 The sea environment influences the mineral content and flavor of the growing seaweed.
 

 03 Toasting
 Gentle roasting develops the characteristic crisp texture and nutty aroma.""}",oh-moh-ree no-ree,
shima-zushi,Shima-zushi,島寿司,kanto,tokyo,"A classic Ogasawara island sushi made with slices of local fish marinated in soy sauce and mirin before being placed over mildly sweet vinegared rice. Traditionally served with mustard instead of wasabi, the style is defined by its glossy fish, sweet-savory seasoning, and strong island identity.","{""All year""}","{""local specialty""}","Contains soy, gluten, fish",1000,2500,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Shima-zushi grew from the island food culture of the Ogasawara Islands, where fish was seasoned before serving to suit island conditions and local tastes. The technique is a part of the broader Japanese island sushi tradition rather than a recipe credited to one inventor.",,Ogasawara's official tourism association specifically notes mustard rather than wasabi as the traditional accompaniment. The sweet vinegared rice helps balance the soy-based fish marinade.,"{""01 Local White Fish
 Fish such as sawara is sliced for the soy-based marinade.
 

 02 Soy Sauce and Mirin
 The marinade gives the fish its savory sweetness and characteristic glossy color.
 

 03 Vinegared Rice
 Mildly sweetened sushi rice provides balance and structure.""}",shee-mah zoo-she,
kame-ni,Kame-ni,亀煮,kanto,tokyo,A traditional Ogasawara preparation of sea turtle cooked slowly with a savory-sweet seasoning until the meat becomes tender. It reflects the islands' historical use of marine resources and is now best understood as part of Ogasawara's heritage cuisine rather than an everyday food.,"{""All year""}","{""local specialty""}",Contains turtle meat,800,2000,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Kame-ni belongs to the traditional food culture of Ogasawara, where sea turtle was historically harvested and cooked as a local resource. Modern discussion of the dish is closely linked to the islands' cultural history and contemporary wildlife protections.",,"The name simply means turtle simmered or braised. Because sea turtles are protected wildlife, this dish should not be treated as an ordinary freely available menu item.","{""01 Sea Turtle
 Historically harvested turtle provided the central meat, although present-day access is governed by conservation rules.
 

 02 Soy Sauce
 Soy sauce supplies the deep savory base of the braising liquid.
 

 03 Sugar and Sake
 Sweet and aromatic cooking seasonings balance the strong marine flavor.""}",kah-meh nee,
same-burger,Same Burger,サメバーガー,kanto,tokyo,"A modern Ogasawara specialty that replaces ordinary burger meat with locally caught shark, creating a firm, lean seafood filling inside a soft bun. The format turns a traditional island catch into an approachable contemporary street-food style and highlights the archipelago's strong connection with fishing.","{""All year""}","{""local specialty""}","Contains fish, gluten, egg",600,1200,Published,"{""Quick bite"",""Dine-in""}",Not vegetarian,Not halal,TRUE,Shark burgers are a modern island-food development rather than an Edo-period traditional dish. The concept reflects Ogasawara's contemporary effort to use local seafood in accessible dishes while giving visitors a distinctive taste of the islands.,,"Shark has a firmer texture than many mild white fish, which is why sauces and a soft bun work well with it. The burger format makes an unfamiliar island ingredient easier for visitors to try.","{""01 Local Shark
 Lean shark meat provides the firm seafood center.
 

 02 Wheat Burger Bun
 The soft bun balances the denser texture of the seafood.
 

 03 Sauce and Salad Vegetables
 Sauce, lettuce, or other toppings add moisture and freshness to the sandwich.""}",sah-meh bah-gah,
shikaku-mame-tempura,Shikaku-mame Tempura,四角豆の天ぷら,kanto,tokyo,"A crisp vegetable tempura featuring winged bean, a warm-climate crop suited to the subtropical Ogasawara Islands. The beans are lightly battered and fried so their ridged, star-like cross-section stays visible, producing a delicate shell around a fresh, slightly grassy interior.","{""Summer""}","{""local specialty""}","Contains gluten, fried in oil",500,1000,Published,"{""Vegetarian"",""Quick bite"",""Dine-in"",""Seasonal peak""}",Verified vegetarian,Not halal,TRUE,"Winged bean is among the subtropical vegetables grown in Ogasawara, and tempura is a straightforward local way to showcase the crop. The dish reflects island adaptation to warm-climate agriculture rather than a single documented invention.",,"The winged ridges of the bean are edible, so the vegetable keeps an unusual sculptural appearance after frying. A light batter lets the fresh vegetable flavor remain noticeable.","{""01 Winged Beans
 Young winged beans provide the crisp, fresh vegetable center.
 

 02 Tempura Batter
 A light flour-and-water batter forms the delicate fried coating.
 

 03 Frying Oil
 Hot oil quickly sets the batter while keeping the interior fresh and green.""}",she-kah-koo mah-meh ten-poo-rah,
akaba-miso-soup,Akaba Miso Soup,アカバの味噌汁,kanto,tokyo,"A deeply savory fish soup made with akabha, the local name for red-spotted grouper, a prized reef fish of the Ogasawara Islands. The fish is simmered with miso to create a rich broth that combines a clean marine sweetness with the fermented depth of Japanese miso.","{""All year""}","{""local specialty""}","Contains fish, soy",600,1500,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Akabha miso soup is a recognized Ogasawara island dish made from the fish locally called akabha, or red-spotted grouper. Its roots lie in island fishing cuisine and the practical use of prized reef fish in a nourishing soup.",,"The fish is considered a high-value local catch, so using it in miso soup turns bones and flavorful pieces into a particularly rich broth. The local name akabha refers to the red grouper family fish used in the dish.","{""01 Red-Spotted Grouper
 Akabha provides the fish's clean marine sweetness and gelatin-rich texture.
 

 02 Miso
 Fermented soybean paste forms the salty, savory soup base.
 

 03 Dashi and Aromatics
 Stock ingredients and simple aromatics deepen the broth without masking the fish.""}",ah-kah-bah mee-so soo-poo,
